,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,7832,6831,1001,0,1599578,0.43%,0.06%,0.004896291396855921
Adıyaman,1417,1138,279,0,417362,0.27%,0.07%,0.003395134200046962
Afyon,2616,2135,481,0,544755,0.39%,0.09%,0.004802158768620756
Ağrı,1131,916,215,0,316215,0.29%,0.07%,0.0035766804231298324
Amasya,1230,976,254,0,261116,0.37%,0.10%,0.0047105501003385465
Ankara,30853,26110,4743,0,4269423,0.61%,0.11%,0.007226503440863086
Antalya,14479,12134,2345,0,1903745,0.64%,0.12%,0.007605535405214459
Artvin,444,381,63,0,135986,0.28%,0.05%,0.003265041989616578
Aydın,4786,3890,896,0,867298,0.45%,0.10%,0.005518287831864019
Balıkesir,5956,4867,1089,0,992100,0.49%,0.11%,0.006003427073883681
Bilecik,840,681,159,0,169031,0.40%,0.09%,0.004969502635611219
Bingöl,658,583,75,0,193043,0.30%,0.04%,0.0034085670032065396
Bitlis,583,527,56,0,216393,0.24%,0.03%,0.0026941721774733935
Bolu,1237,933,304,0,247627,0.38%,0.12%,0.0049954164933549245
Burdur,1022,854,168,0,212252,0.40%,0.08%,0.004815031189340972
Bursa,17812,15035,2777,0,2314439,0.65%,0.12%,0.007696033466425341
Çanakkale,2693,2041,652,0,437937,0.47%,0.15%,0.006149286312871486
Çankırı,677,525,152,0,151413,0.35%,0.10%,0.0044712144928110535
Çorum,1761,1445,316,0,407844,0.35%,0.08%,0.004317827404595875
Denizli,4928,4193,735,0,793926,0.53%,0.09%,0.006207127616427727
Diyarbakır,3474,2863,611,0,1099830,0.26%,0.06%,0.0031586699762690598
Edirne,2476,1865,611,0,334075,0.56%,0.18%,0.007411509391603682
Elazığ,1783,1470,313,0,432965,0.34%,0.07%,0.004118115783030961
Erzincan,818,670,148,0,180234,0.37%,0.08%,0.004538544336806596
Erzurum,2501,2193,308,0,526063,0.42%,0.06%,0.004754183434303496
Eskişehir,4876,3845,1031,0,698642,0.55%,0.15%,0.006979254038549071
Gaziantep,9554,8844,710,0,1317351,0.67%,0.05%,0.007252433102491287
Giresun,1214,1003,211,0,359477,0.28%,0.06%,0.003377128439371643
Gümüşhane,125,109,16,0,110911,0.10%,0.01%,0.0011270297806349236
Hakkari,1087,1003,84,0,181606,0.55%,0.05%,0.0059854850610662645
Hatay,7706,6910,796,0,1120447,0.62%,0.07%,0.006877612238686881
Isparta,1861,1411,450,0,342106,0.41%,0.13%,0.005439834437279674
Mersin,6576,5462,1114,0,1356886,0.40%,0.08%,0.00484639092746185
İstanbul,110032,94952,15080,0,11520854,0.82%,0.13%,0.00955068087834461
İzmir,29573,25305,4268,0,3429827,0.74%,0.12%,0.008622300774937044
Kars,665,548,117,0,194225,0.28%,0.06%,0.0034238640751705495
Kastamonu,1272,1035,237,0,302774,0.34%,0.08%,0.004201153335491158
Kayseri,4048,3149,899,0,1016718,0.31%,0.09%,0.003981438314262165
Kırklareli,1640,1360,280,0,294199,0.46%,0.10%,0.0055744581048881876
Kırşehir,911,720,191,0,185308,0.39%,0.10%,0.004916139616206532
Kocaeli,8729,7185,1544,0,1453509,0.49%,0.11%,0.006005466770415594
Konya,8943,7237,1706,0,1611865,0.45%,0.11%,0.005548231396549959
Kütahya,1690,1249,441,0,454645,0.27%,0.10%,0.0037171859362799546
Malatya,2167,1744,423,0,585623,0.30%,0.07%,0.0037003328079669
Manisa,6399,5470,929,0,1101092,0.50%,0.08%,0.005811503489263386
Kahramanmaraş,3926,3500,426,0,785567,0.45%,0.05%,0.004997664107580894
Mardin,1232,1177,55,0,517582,0.23%,0.01%,0.0023802991603262863
Muğla,5663,4527,1136,0,787329,0.57%,0.14%,0.007192672948665679
Muş,900,806,94,0,244220,0.33%,0.04%,0.003685201867168946
Nevşehir,773,671,102,0,228791,0.29%,0.04%,0.003378629404128659
Niğde,729,588,141,0,260708,0.23%,0.05%,0.0027962317995611947
Ordu,3403,2884,519,0,589401,0.49%,0.09%,0.005773658341265115
Rize,1054,875,179,0,268906,0.33%,0.07%,0.003919585282589455
Sakarya,3744,3195,549,0,777027,0.41%,0.07%,0.004818365384986622
Samsun,7045,5802,1243,0,1030199,0.56%,0.12%,0.006838484603460108
Siirt,448,397,51,0,197181,0.20%,0.03%,0.0022720241808287817
Sinop,692,530,162,0,172933,0.31%,0.09%,0.0040015497331336415
Sivas,2271,1837,434,0,478755,0.38%,0.09%,0.004743553592129586
Tekirdağ,7427,6615,812,0,809854,0.82%,0.10%,0.009170788808847027
Tokat,2493,2016,477,0,457272,0.44%,0.10%,0.005451897339001732
Trabzon,3062,2450,612,0,621825,0.39%,0.10%,0.004924215012262293
Tunceli,165,97,68,0,68980,0.14%,0.10%,0.0023919976804870975
Şanlıurfa,3549,3176,373,0,1157716,0.27%,0.03%,0.003065518659153022
Uşak,1521,1274,247,0,286295,0.44%,0.09%,0.005312701933320526
Van,4345,3839,506,0,693216,0.55%,0.07%,0.00626788764252412
Yozgat,1249,1070,179,0,315031,0.34%,0.06%,0.003964689189317877
Zonguldak,3150,2658,492,0,466537,0.57%,0.11%,0.0067518760569901205
Aksaray,1125,941,184,0,299426,0.31%,0.06%,0.0037571887544835788
Bayburt,595,544,51,0,62060,0.88%,0.08%,0.009587495971640348
Karaman,759,615,144,0,188095,0.33%,0.08%,0.00403519498125947
Kırıkkale,1010,725,285,0,214988,0.34%,0.13%,0.004697936629021154
Batman,1001,845,156,0,375020,0.23%,0.04%,0.0026691909764812545
Şırnak,3094,2909,185,0,307348,0.95%,0.06%,0.010066764709710166
Bartın,726,555,171,0,159253,0.35%,0.11%,0.004558783821968817
Ardahan,167,131,36,0,71678,0.18%,0.05%,0.002329864114512124
Iğdır,220,140,80,0,130907,0.11%,0.06%,0.0016805823981910822
Yalova,1695,1409,286,0,210810,0.67%,0.14%,0.00804041554005977
Karabük,1054,864,190,0,195265,0.44%,0.10%,0.005397792743195145
Kilis,380,300,80,0,94522,0.32%,0.08%,0.004020228095046656
Osmaniye,1474,1242,232,0,378009,0.33%,0.06%,0.0038993780571362057
Düzce,1592,1373,219,0,298284,0.46%,0.07%,0.0053371954244947764
