,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran
Adana,18167,7119,4628,6420,1599578,0.45%,0.29%
Adıyaman,4622,2392,1112,1118,417362,0.57%,0.27%
Afyon,6177,1808,1821,2548,544755,0.33%,0.33%
Ağrı,5314,3658,1236,420,316215,1.16%,0.39%
Amasya,5406,1415,1455,2536,261116,0.54%,0.56%
Ankara,88612,33191,34743,20678,4269423,0.78%,0.81%
Antalya,26427,9873,7053,9501,1903745,0.52%,0.37%
Artvin,2358,671,600,1087,135986,0.49%,0.44%
Aydın,16037,3208,4860,7969,867298,0.37%,0.56%
Balıkesir,19904,3855,5032,11017,992100,0.39%,0.51%
Bilecik,2725,611,901,1213,169031,0.36%,0.53%
Bingöl,2064,1295,419,350,193043,0.67%,0.22%
Bitlis,1890,1376,300,214,216393,0.64%,0.14%
Bolu,3825,774,1356,1695,247627,0.31%,0.55%
Burdur,4168,1076,1031,2061,212252,0.51%,0.49%
Bursa,29163,8373,9997,10793,2314439,0.36%,0.43%
Çanakkale,8474,1731,2538,4205,437937,0.40%,0.58%
Çankırı,2383,454,670,1259,151413,0.30%,0.44%
Çorum,5788,1490,1910,2388,407844,0.37%,0.47%
Denizli,11211,2829,4004,4378,793926,0.36%,0.50%
Diyarbakır,10600,6974,1937,1689,1099830,0.63%,0.18%
Edirne,5777,1048,1651,3078,334075,0.31%,0.49%
Elazığ,4070,1448,1189,1433,432965,0.33%,0.27%
Erzincan,2219,569,656,994,180234,0.32%,0.36%
Erzurum,5891,2813,1376,1702,526063,0.53%,0.26%
Eskişehir,11299,2084,4369,4846,698642,0.30%,0.63%
Gaziantep,14214,7683,3773,2758,1317351,0.58%,0.29%
Giresun,5879,1391,1467,3021,359477,0.39%,0.41%
Gümüşhane,1525,483,437,605,110911,0.44%,0.39%
Hakkari,4469,3692,654,123,181606,2.03%,0.36%
Hatay,14471,7021,3907,3543,1120447,0.63%,0.35%
Isparta,5492,1210,1823,2459,342106,0.35%,0.53%
Mersin,21335,7040,5830,8465,1356886,0.52%,0.43%
İstanbul,125696,40236,48824,36636,11520854,0.35%,0.42%
İzmir,54854,13142,18221,23491,3429827,0.38%,0.53%
Kars,2825,1521,681,623,194225,0.78%,0.35%
Kastamonu,4813,1141,1312,2360,302774,0.38%,0.43%
Kayseri,12519,4159,3918,4442,1016718,0.41%,0.39%
Kırklareli,4738,963,1447,2328,294199,0.33%,0.49%
Kırşehir,2693,684,878,1131,185308,0.37%,0.47%
Kocaeli,17779,5504,6283,5992,1453509,0.38%,0.43%
Konya,19670,6422,6178,7070,1611865,0.40%,0.38%
Kütahya,5466,1606,1792,2068,454645,0.35%,0.39%
Malatya,6806,2240,1921,2645,585623,0.38%,0.33%
Manisa,16787,5282,5579,5926,1101092,0.48%,0.51%
Kahramanmaraş,8302,3685,2007,2610,785567,0.47%,0.26%
Mardin,6203,4599,1049,555,517582,0.89%,0.20%
Muğla,16573,3587,5296,7690,787329,0.46%,0.67%
Muş,3727,2818,523,386,244220,1.15%,0.21%
Nevşehir,3439,940,1140,1359,228791,0.41%,0.50%
Niğde,3695,1166,1000,1529,260708,0.45%,0.38%
Ordu,9486,2580,2700,4206,589401,0.44%,0.46%
Rize,3803,1119,989,1695,268906,0.42%,0.37%
Sakarya,9066,2984,2797,3285,777027,0.38%,0.36%
Samsun,12736,4320,3554,4862,1030199,0.42%,0.34%
Siirt,2636,2061,359,216,197181,1.05%,0.18%
Sinop,3169,757,909,1503,172933,0.44%,0.53%
Sivas,7443,2000,2041,3402,478755,0.42%,0.43%
Tekirdağ,12665,3639,3564,5462,809854,0.45%,0.44%
Tokat,6187,1852,1667,2668,457272,0.41%,0.36%
Trabzon,8635,2264,2628,3743,621825,0.36%,0.42%
Tunceli,1041,259,288,494,68980,0.38%,0.42%
Şanlıurfa,11512,8878,1632,1002,1157716,0.77%,0.14%
Uşak,3961,997,1235,1729,286295,0.35%,0.43%
Van,9241,6794,1492,955,693216,0.98%,0.22%
Yozgat,3658,1207,876,1575,315031,0.38%,0.28%
Zonguldak,6194,1578,2163,2453,466537,0.34%,0.46%
Aksaray,3152,1326,839,987,299426,0.44%,0.28%
Bayburt,678,256,165,257,62060,0.41%,0.27%
Karaman,2356,741,645,970,188095,0.39%,0.34%
Kırıkkale,3039,793,892,1354,214988,0.37%,0.41%
Batman,3169,2162,591,416,375020,0.58%,0.16%
Şırnak,5370,4386,795,189,307348,1.43%,0.26%
Bartın,2302,614,571,1117,159253,0.39%,0.36%
Ardahan,1426,578,319,529,71678,0.81%,0.45%
Iğdır,1673,941,490,242,130907,0.72%,0.37%
Yalova,3677,749,1321,1607,210810,0.36%,0.63%
Karabük,2517,648,730,1139,195265,0.33%,0.37%
Kilis,1403,704,476,223,94522,0.74%,0.50%
Osmaniye,5020,2025,1155,1840,378009,0.54%,0.31%
Düzce,3223,1038,978,1207,298284,0.35%,0.33%
